anthracene,-,488,986,1744,-,475,959,1670,-,2:02,CANNON BALLERS RACING汎用,
B.O.D.Y.,-,558,1103,1734,-,608,1067,1661,-,1:53,"専用:BEMANI Designers ""Kaito""",
Bad Encryption,-,678,1015,1633,-,692,998,1614,-,1:53,専用:Routes,
C-C-C-N-N-N,-,504,898,1434,-,525,902,1490,-,1:59,"専用:BEMANI Designers ""アキ""",
CUE CUE RESCUE,-,580,853,1278,-,555,838,1244,-,1:46,"専用:BEMANI Designers ""アキ""",
Driver,-,450,651,906,-,455,647,930,-,1:58,PENDUAL FUTURE汎用,
EZ DO DANCE,196,388,714,992,-,387,717,1167,-,1:56,Rootage CYBER汎用,
GET UP AGAIN,-,564,856,1226,-,588,821,1227,-,1:55,RESIDENT CYBER汎用+レイヤー,"BEMANI Designers ""GOLI"""
LADS,-,474,834,1155,-,519,720,1349,-,1:56,6th HOUSE汎用+レイヤー,"BEMANI Designers ""いそにん"""
Luna Plena,-,438,814,1309,-,455,794,1334,-,1:58,"専用:BEMANI Designers ""猫味蕎麦""",
Meissa,-,465,826,1435,-,463,825,1415,-,1:52,RESIDENT CYBER汎用,
Move UR Body,-,597,919,1327,-,544,919,1358,-,1:57,CANNON BALLERS RACING汎用,
No Border,-,589,1013,1895,-,592,1075,1953,-,2:03,専用:Minako Endo,
Peng-Ging Sky High!!,-,558,746,1336,-,558,760,1341,-,1:57,"専用:BEMANI Designers ""アキ""",
Perfect Plan,-,595,912,1328,-,597,913,1305,-,2:11,BISTROVER TRANSPORT汎用,
Programmed Genom,-,570,826,1214,-,559,829,1155,-,2:05,"専用:BEMANI Designers ""Ray""",
Rewind Time,-,361,658,1107,-,360,655,1215,-,1:59,RESIDENT CYBER汎用,
Ruler or Loser,-,494,845,1339,-,493,855,1351,-,1:57,"専用:BEMANI Designers ""NAGI""",
Seraph,-,500,922,1227,-,503,859,1234,-,1:58,"専用:BEMANI Designers ""ロNO""",
Shadow World,-,498,836,1369,-,510,885,1365,-,2:03,"専用:BEMANI Designers ""maysea""",
Summerblue,-,551,886,1232,-,552,885,1271,-,2:05,"専用:BEMANI Designers ""4O8Q""",
Sunny Day Vibes,-,482,829,1150,-,562,930,1211,-,1:53,専用,
TECHNOPHOBIA,-,404,852,1544,-,437,839,1538,-,1:46,専用,
THE TIME MACHINE,-,552,900,1350,-,574,856,1328,-,1:59,専用:Taiyo Yamamoto,
VOLCANIC BIGBEAT,-,552,932,1444,-,568,922,1402,-,1:59,10th HOUSE汎用,
"wanna be a ""BAD GIRL"" feat. Nana Takahashi",-,401,665,1029,-,395,661,1002,-,2:01,Lincle POPS汎用+レイヤー,"BEMANI Designers ""はるお"""
With You,-,420,801,1296,-,404,754,1234,-,2:02,専用:pam,
≡+≡,-,698,1069,1520,-,696,1031,1573,-,1:58,RESIDENT CYBER汎用,
3V0,-,530,929,1530,-,530,930,1530,-,1:59,専用:alo,
雨のちパノラマセカイ,-,413,721,1112,-,491,798,1115,-,2:02,tricoro CYBER汎用,
罪過の聖堂,-,449,708,1080,-,449,731,1081,-,2:02,専用:ヒロサキ,
きゅんです。,-,367,724,1177,-,384,718,1202,-,1:46,専用,
儚キ戀ノ幻想譚,-,797,1169,1808,-,806,1139,1800,-,1:56,"専用:BEMANI Designers ""アオニサイ(蒼弐)""",
いつかオトナになれるといいね。,277,568,984,1522,-,583,1002,1640,-,2:04,公式PV,
響花水月,-,608,974,1487,-,586,1039,1545,-,2:01,PENDUAL PRESENT汎用,
